padrao;texto;usuario;sistema;ruusage;gettimeofday
6;6884;877.000000;0.000000;877.000000;871.000000
18;3361;1176.000000;0.000000;1176.000000;1156.000000
59;9051;739.000000;0.000000;739.000000;730.000000
36;8352;965.000000;0.000000;965.000000;960.000000
57;1757;685.000000;0.000000;685.000000;666.000000
6;4330;0.000000;1437.000000;1437.000000;1418.000000
6;8410;0.000000;1029.000000;1029.000000;1035.000000
49;8497;1017.000000;0.000000;1017.000000;1011.000000
32;7834;0.000000;895.000000;895.000000;888.000000
51;5958;0.000000;1957.000000;1957.000000;1938.000000
12;207;242.000000;0.000000;242.000000;224.000000
33;9078;850.000000;0.000000;850.000000;841.000000
26;3740;1264.000000;0.000000;1264.000000;1246.000000
26;3787;1215.000000;0.000000;1215.000000;1195.000000
24;6017;1971.000000;0.000000;1971.000000;1949.000000
29;2807;1002.000000;0.000000;1002.000000;983.000000
46;2555;914.000000;0.000000;914.000000;895.000000
25;4370;1421.000000;0.000000;1421.000000;1403.000000
27;6661;2212.000000;0.000000;2212.000000;2192.000000
28;4961;1625.000000;0.000000;1625.000000;1606.000000
10;7310;2542.000000;0.000000;2542.000000;2518.000000
36;3783;1292.000000;0.000000;1292.000000;1273.000000
31;1769;683.000000;0.000000;683.000000;664.000000
51;2349;0.000000;835.000000;835.000000;817.000000
15;6793;2126.000000;0.000000;2126.000000;2105.000000
15;8490;1065.000000;0.000000;1065.000000;1057.000000
22;2691;987.000000;0.000000;987.000000;967.000000
55;6976;941.000000;0.000000;941.000000;934.000000
58;4862;0.000000;1596.000000;1596.000000;1576.000000
31;4943;1624.000000;0.000000;1624.000000;1605.000000
7;5749;624.000000;0.000000;624.000000;618.000000
16;8550;1010.000000;0.000000;1010.000000;1003.000000
20;1161;0.000000;541.000000;541.000000;520.000000
39;6700;2550.000000;0.000000;2550.000000;2533.000000
19;8804;977.000000;0.000000;977.000000;971.000000
2;750;377.000000;0.000000;377.000000;358.000000
61;3852;1306.000000;0.000000;1306.000000;1286.000000
12;9023;1176.000000;0.000000;1176.000000;1168.000000
58;2946;1068.000000;0.000000;1068.000000;1049.000000
4;4001;1338.000000;0.000000;1338.000000;1320.000000
53;605;0.000000;372.000000;372.000000;352.000000
12;3190;1136.000000;0.000000;1136.000000;1117.000000
7;4955;0.000000;1576.000000;1576.000000;1551.000000
38;3341;0.000000;1154.000000;1154.000000;1136.000000
